Date,Symbol,Company,Open,DayHigh,DayLow,LastPrice,PreviousClose,Change,PChange,Volume
2025-11-15,ULTRACEMCO,ULTRACEMCOEQN,11941.0,11941.0,11786.0,11875.0,11934.0,-59.0,-0.49,161315.0
2025-11-15,TECHM,TECHMEQN,1444.2,1445.8,1422.9,1443.8,1451.4,-7.6,-0.52,1220596.0
2025-11-15,TITAN,TITANEQN,3839.2,3854.7,3800.0,3816.1,3839.2,-23.1,-0.6,575050.0
2025-11-15,SHRIRAMFIN,SHRIRAMFINEQN,809.5,817.95,803.9,808.5,814.0,-5.5,-0.68,5672058.0
2025-11-15,ICICIBANK,ICICIBANKEQN,1374.0,1381.2,1363.2,1373.2,1385.9,-12.7,-0.92,9694498.0
2025-11-15,HINDALCO,HINDALCOEQN,807.0,812.5,796.0,803.0,811.95,-8.95,-1.1,4113598.0
2025-11-15,JSWSTEEL,JSWSTEELEQN,1182.1,1182.9,1159.0,1169.2,1183.9,-14.7,-1.24,1059030.0
2025-11-15,TMPV,TMPVEQN,397.95,399.6,387.3,392.9,397.95,-5.05,-1.27,21834850.0
2025-11-15,HDFCLIFE,HDFCLIFEEQN,779.0,780.3,769.5,772.3,782.2,-9.9,-1.27,1373199.0
2025-11-15,TATASTEEL,TATASTEELEQN,177.52,177.7,172.12,174.0,176.65,-2.65,-1.5,38345500.0
2025-11-15,EICHERMOT,EICHERMOTEQN,6799.0,6850.0,6670.0,6699.5,6855.0,-155.5,-2.27,739163.0
2025-11-15,INFY,INFYEQN,1520.0,1530.0,1488.8,1505.8,1541.8,-36.0,-2.33,9739549.0
2025-11-16,NIFTY 50,NIFTY 50,25767.9,25940.2,25740.8,25910.05,25879.15,30.899999999997817,0.12,
2025-11-16,TMCV,TMCVBEN,310.0,335.0,306.3,331.0,320.75,10.25,3.2,165519798.0
2025-11-16,ETERNAL,ETERNALEQN,295.0,305.25,294.75,304.15,297.75,6.4,2.15,37378730.0
2025-11-16,BEL,BELEQN,418.8,428.7,418.7,426.5,419.8,6.7,1.6,14719899.0
